Task,Start,End
First day!,1/26/18,NA
Built our first website,2/16/18,NA
"<a href = ""http://ohi-science.org/data-science-training/ggplot2.html"">Learned to make awesome ggplots</a>",2/23/18,NA
First blog post,2/23/18,NA
"Completed <a href=""http://ohi-science.org/data-science-training/dplyr.html"">dplyr</a> and <a href=""http://ohi-science.org/data-science-training/tidyr.html"">tidyr</a> training",3/6/18,NA
Learned how to gapfill,3/23/18,NA
Data prep training,3/23/18,4/13/18
OHI file organization,4/18/18,NA
"Completing <a href=""http://www.oceanhealthindex.org/methodology/goals/food-provision/mariculture"">Mariculture</a>",4/18/18,6/27/18
Exploring OHI Toolbox,4/20/18,4/27/18
"<a href=""http://www.oceanhealthindex.org/methodology/components/pathogens"">Pathogen data</a>",5/2/18,6/11/18
"Learned to update <a href=""http://ohi-science.org/toolbox-training/toolbox-ecosystem.html"">OHI Toolbox</a>",5/4/18,NA
"Prepare <a href=""http://www.oceanhealthindex.org/methodology/components/global-competitiveness-index"">GCI</a> data and add to toolbox",5/4/18,5/18/18
Sea Ice Data Prep,5/20/18,7/3/18
"Added <a href=""http://www.oceanhealthindex.org/methodology/components/genetic-escapes"">genetic escapes</a> pressure data and learn about spatial data",5/25/18,NA
"Completed <a href=""http://www.oceanhealthindex.org/methodology/goals/natural-products"">Natural Products</a>",6/8/18,7/3/18
"Completing <a href=""http://ohi-science.org/learn/#tourism-and-recreation"">Tourism and Recreation</a> goal",6/13/18,7/25/18
"Shared website on <a href=""https://twitter.com/OceanHealthIndx/status/1010210061405179904"">OHI twitter</a>!",6/15/18,NA
"<a href=""http://www.oceanhealthindex.org/methodology/components/iconic-species-list"">Iconic Species</a> completed (trend method updates)",6/22/18,7/17/18
New data for Sea Ice Concentrations released,6/25/18,NA
Ramping up calculation of OHI v2018; fellows start working full-time,6/25/18,NA
Independent Projects,6/28/18,9/14/18
"<a href=""http://www.oceanhealthindex.org/methodology/goals/sense-of-place/lasting-special-places"">Lasting Special Places</a> sub-goal",7/2/18,7/25/18
"Added pathogen layer<a href=""http://www.oceanhealthindex.org/methodology/goals/clean-waters"">from Clean Water </a> goal to ohi-global",7/5/18,NA
Fishery pressures data prep,7/13/18,8/13/18
"<a href=""http://ohi-science.org/ohi-global/layers.html#sea_level_rise"">Sea Level Rise</a>  data prep",7/16/18,7/31/18
"Completed <a href=""http://www.oceanhealthindex.org/methodology/goals/artisanal-fishing-opportunities""> Artisanal Opportunitites </a> goal",7/20/18,7/25/18
"Dataprep for pressure layer on <a href=""http://www.oceanhealthindex.org/methodology/components/targeted-harvest"">target harvest </a> goal",8/1/18,8/14/18
Blog post on Agile Software OHI!,8/9/18,NA
"<a href=""http://www.oceanhealthindex.org/methodology/components/soft-bottom-habitats""> Subtidal soft-bottom habitat destruction </a> pressure layer",8/15/18,8/24/18
Starting documentation on updates data and methods,8/28/18,NA
Added fishery pressures to toolbox,9/11/18,NA
OHI Fellows Roundtable Presentation,9/12/18,NA
"Create <a href=""https://rawgit.com/OHI-Science/global-dashboard/master/slidedeck/modules_slidedeck.html#1"">Global Dashboard slide deck</a>",9/13/18,NA
Last Day of First Cohort!!,9/14/18,NA